nome,mapcategory,servizio,attore,indirizzo,latitudine,longitudine,referente,contatti,accesso,costi,accesso_temporale,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica,periodo_apertura,mesi_apertura,occasioni_apertura,descrizione,destinatari,altri,disabili,parcheggi100m_riservati,parcheggi100m_gratuiti,parcheggi100m_pagamento,parcheggi100m_disabili,data_aggiornamento,note,url,foto,natura_calcolata,utenza_prevalente_calcolata,funzione_relazionale_calcolata,giorni_con_orari_indicati,id_povo,fonte_principale,fonti_riscontro,id_osm,id_overture,stato_match,match_con,match_score,distanza_match_m,verifica_locale,qualita_record,data_estrazione_esterna,data_ultima_verifica,dentro_confine_povo
Casa Sociale,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Kaleidoscopio Scs con la Circoscrizione di Povo,Via Salè 1,46.064387,11.152653,Paola Rizzolli - Kaleidoscopio - 3299060104,povo.educa@kaleidoscopio.coop,Con prenotazione,A pagamento,Aperto in determinati giorni/orari,-,-,-,-,-,-,-,Solo in determinate occasioni,-,"La sala si trova all'interno della ""Casa Sociale"", una struttura in uso ad un pool di associazioni aderenti al patto di coesione territoriale PovoEduca, stipulato fra il Comune di Trento e Kaleidoscopio, ente capofila che, assieme alla Circoscrizione, ne gestisce il calendario e la programmazione delle attività. Nei tempi liberi può essere prenotata anche da esterni, associazioni e privati. Per la disponibilità è necessario verificare il calendario con Kaleidoscopio: povo.educa@kaleidoscopio.coop","La struttura è composta dalla sala Agorà, che può ospitare fino a 130 persone, utilizzabile per conferenze, spettacoli, attività ludico sportive, feste, incontri conviviali, una cucina laboratorio con annessa saletta di appoggio, una sala living, con capienza di circa 30 persone, dotata di divani e armadi, utilizzabile per attività varie, riunioni e incontri; una sala musica al primo piano, per prove di gruppi musicali. Gli spazi della Casa Sociale possono essere prenotati anche da esterni, associazioni e privati, contattando con congruo anticipo la Kaleidoscopio alla mail: povo.educa@kaleidoscopio.coop.
Ampie porte-finestre danno accesso ad un grande prato con alberi, recintato e ad uso esclusivo. L'eventuale uso della cucina è possibile sia come appoggio per la distribuzione di cibi pronti che per il confezionamento di semplici pasti, previa richiesta dei necessari permessi e nel rispetto delle regole di comportamento illustrate da un responsabile di Kaleidoscopio.",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,14/8/2025,"La Casa Sociale è stata inaugurata il 14 dicembre 2024. Ora i suoi spazi, totalmente rinnovati, sono utilizzati dalla comunità di Povo per i più diversi scopi:  riunioni, spettacoli musicali e teatrali, feste, attività ludico/sportive, conferenze, attività formative, incontri conviviali fra gruppi, cene solidali, ecc. Alcune associazioni aderiscono al patto per svolgere attività continuative. La Circoscrizione dispone di un certo numero di giornate all'anno di utilizzo a titolo gratuito per attività che coinvolgono tutta la comunità. Per attività occasionali le sale della struttura possono essere prenotate da gruppi o da privati. Per i costi di noleggio e per la verifica della disponibilità, rivolgersi a povo.educa@kaleidoscopio.coop.",https://www.rainews.it/tgr/trento/video/2024/12/trento-nasce-la-casa-sociale-spazio-autogestito-nel-quartiere-di-povo-362c96d9-6954-43f6-8472-0bfe46f412a1.html,https://i.postimg.cc/QtgYWF5P/486407659-1088445473316930-8281386484293365479-n.jpg,Misto / convenzionato,Entrambi,Alta,0,POVO-CIRC-0011,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,14/8/2025,true
Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Commercio e servizi di prossimità,Servizi e attività economiche,Banca di Credito Cooperativo Italiano filiale di Povo,Piazza Manci 17,46.065662,11.154894,Direttore di filiale - 0461 206350,filiale010@bancapts.it,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Sempre aperto,-,-,"La filiale di Povo offre, oltre a tutti i servizi bancari (tra cui finanziamenti, investimenti, servizi assicurativi e servizi di pagamento), anche servizio di cassette di sicurezza, servizio di cassa dal lun al ven 8.05-13.20 e consulenza anche il pomeriggio con orario 14.30-16.00, previo appuntamento (per le condizioni consultare la filiale. Condizioni particolari riservate ai soci). E' dotata di ATM per prelievi, ricariche, ecc. e versamenti in cassa continua, accessibile 24 ore su 24.","Adolescenti (11–17 anni), Giovani (18–30 anni), Adulti (31–64 anni), Anziani (65+)","Tutti, E' possibile richiedere l'ammissione a soci, usufruendo di condizioni e servizi riservati","Si, in autonomia",Si,Si,-,Si,16/8/2025,"Situata al piano terra di un edificio prospicente a Piazza Manci, con parcheggio riservto alla clientela, la filiale è gestita da un direttore di filiale, alcuni operatori di sportello ed alcuni consulenti. 
https://www.bancapts.it/
indirizzo mail della filiale di Povo: filiale010@bancapts.it",https://www.bancapts.it/filiali/filiale-di-trento-7/,https://i.postimg.cc/QM8bVjhS/Screenshot-From-2026-07-06-00-28-35.png,Privato / economico,Entrambi,Bassa,5,POVO-CIRC-0012,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,16/8/2025,true
Sala Multiuso 2 presso Centro civico,"Cultura, socialità e spazi comuni",Cultura e tempo libero,Comune di Trento,Via Don T. Dallafior 5,46.064937,11.153418,Circoscrizione di Povo - 0461 889920,circoscrizione.povo@comune.trento.it,Con prenotazione,Misto,Aperto in determinati giorni/orari,-,-,-,-,-,-,-,Solo in determinate occasioni,-,Previa prenotazione,"Sala pubblica del Comune di Trento, collocata al primo piano del Centro civico (via Don T. Dallafior n. 5, Povo), prenotabile per piccole riunioni, incontri, corsi (no feste di compleanno ecc...). E' una sala rettangolare da 52 mq, sbarrierata (raggiungibile tramite ascensore), con possibilità di parcheggio nell'attiguo Piazzale Merler e nell'autorimessa del Centro civico. Per prenotarla occorre accedere con SPID al portale Spazi comuni: https://spazicomuni.comune.trento.it/, scegliere Circoscrizione 7 - Povo e poi la sala, verificandone la disponibilità sul calendario (si raccomanda di effettuare la prenotazione con un anticipo di 15-20 giorni rispetto alla data desiderata).
I costi, indicati nel sito in fase di prenotazione, variano in base alla tipologia di utente ed all'orario di utilizzo. Per informazioni: Circoscrizione di Povo tel. 0461 889920 - circoscrizione.povo@comune.trento.it",Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,Si,22/8/2025,-,https://www.comune.trento.it/Vivere-il-Comune/Luoghi/07-Sala-Multiuso-2-Povo,https://i.postimg.cc/VsxWnqzL/https-s3-eu-west-1-amazonaws-com-static-opencity-opencontent-it-var-trento-storage-2.jpg,Pubblico / istituzionale,Entrambi,Alta,0,POVO-CIRC-0013,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,22/8/2025,true
Bar In Centro,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Piazza Manci 9,46.066165,11.154621,Travaglia Loris 349 8537577,-,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Mattina,Sempre aperto,-,-,"Bar ideale per colazioni e aperitivi, aperto tutti i giorni dalle 7.00 alle 22.00; la domenica dalle 7.00 alle 13.00. Offre caffè e affini, bibite e tramezzini (no pasti) - posti a sedere all'interno del locale, sul terrazzo e nell'area antistante l'ingresso.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,25/8/2025,Molto frequentato,-,https://i.postimg.cc/1zXqLXy2/Screenshot-From-2026-07-06-00-30-42.png,Privato / economico,Entrambi,Media,7,POVO-CIRC-0014,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,25/8/2025,true
Bar Al Canton,Ristorazione e agriturismi,Ristorazione e agriturismi,privato,Piazza Manci 21,46.066169,11.155345,Daniela Tonezzer - cell. 3395717713,-,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",-,Sempre aperto,-,-,"Bar ideale per colazioni e aperitivi (no pasti), aperto dal lunedì al sabato con orario 7.00-20.30. Posti a sedere all'interno e su plateatico esterno.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,25/8/2025,Molto frequentato,-,-,Privato / economico,Entrambi,Media,6,POVO-CIRC-0015,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,25/8/2025,true
Officina Meccanina Elettrauto Gommista,Commercio e servizi di prossimità,Servizi e attività economiche,Autodelta srl unipersonale,Via Sommarive 2,46.063956,11.150402,LORENZO ZORDAN,0461810667 -  info@autodeltapovo.it,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Sempre aperto,-,-,RIPARAZIONE AUTOVEICOLI - ELETTRAUTO - GOMMISTA,"Giovani (18–30 anni), Adulti (31–64 anni), Anziani (65+)",Tutti,"Si, previa assistenza",Si,Si,No,No,26/8/2025,Molto frequentata soprattutto dagli studenti per il pranzo.,https://www.facebook.com/povoTN/?locale=it_IT,https://i.postimg.cc/g2Z94qZQ/487782337-2429034280792869-7639118603765257687-n.jpg,Privato / economico,Entrambi,Bassa,5,POVO-CIRC-0016,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,26/8/2025,true
Pane e non solo,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Don Dallafior, 2",46.065700,11.154277,Cristina Merz  3487896070,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",Mattina,Mattina,Sempre aperto,-,-,Si pagano gli acquisti/consumazioni,Tutte la età,Tutti,"Si, in autonomia",No,Si,-,-,26/8/2025,abbastanza frequentata. Fa anche servizi per eventi.,https://www.facebook.com/p/Pane-e-non-solo-100064010741129/,https://i.postimg.cc/Kz9smRTv/480857872-1060391449437870-1111391171880645464-n.jpg,Privato / economico,Entrambi,Media,7,POVO-CIRC-0017,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,26/8/2025,true
Gelateria Dolomeis,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Piazza Manci,46.066010,11.154355,Degasperi Francesco 3335625279,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,-,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Solo in alcuni periodi dell'anno,"Marzo, Aprile, Maggio, Giugno, Luglio, Agosto, Settembre, Ottobre",-,"Chiosco che produce gelato artigianale, torte-gelato e affini, offrendo anche un servizio a domicilio con la cargo bike. Simpatica la proposta di coppe speciali che riprendono il nome dei principali promontori attorno a Povo: Sant'Agata, Cimirlo, Marzola, Celva e Chegul.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,-,26/8/2025,Abbastanza frequentata,https://www.gelateriadolomeis.it/,https://i.postimg.cc/6q2zwzwP/488650287-1104337411710481-2943249556142547723-n.jpg,Privato / economico,Entrambi,Media,6,POVO-CIRC-0018,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,26/8/2025,true
Centro Estetico,Commercio e servizi di prossimità,Servizi e attività economiche,Estetica Mia di Mosna Alessandra,Via della Resistenza 25,46.066208,11.155608,MOSNA ALESSANDRA,0461811061 - esteticamia15@gmail.com - www.esteticamia.it,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio","Pomeriggio, Sera","Mattina, Pomeriggio, Sera",-,-,Sempre aperto,-,-,TRATTAMENTI VISO E CORPO PROFESSIONALI,"Adolescenti (11–17 anni), Giovani (18–30 anni), Adulti (31–64 anni), Anziani (65+)","Turisti / Visitatori, Sportivi / Escursionisti, Studenti, Lavoratori / Pendolari, Persone fragili o in situazione di svantaggio sociale","Si, previa assistenza",No,Si,No,No,26/8/2025,Mediamente frequentata,https://esteticamia.it,https://esteticamia.it/mt-content/uploads/2025/03/foto-estetica-mia-staff-25.jpg,Privato / economico,Entrambi,Bassa,5,POVO-CIRC-0019,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,26/8/2025,true
Pizzeria Orostube,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Sommarive, 10",46.064754,11.150456,Gianni Giovannini  0461-816073,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera",-,Sempre aperto,-,-,-,Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,-,26/8/2025,molto frequentato. Non accessibile ai cani.,https://orostube.it/,https://orostube.it/public/uploads/images/restaurants/2015-12-13-10-54-06-IMG_8112.jpg,Privato / economico,Entrambi,Media,6,POVO-CIRC-0020,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,26/8/2025,true
Pizza Rio,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Via della Resistenza 9/A,46.064749,11.150447,Reale Leonardo  tel.0461811555 cell. 3457641322,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera",Sera,Sera,Sempre aperto,-,-,Offre soprattutto pizze da asporto con qualche tavolo per la consumazione sul posto non servita.,Tutte la età,-,"Si, in autonomia",-,Si,-,-,27/8/2025,molto frequentata soprattutto dagli studenti per il pranzo.,https://pizzariopovo.it/,https://pizzariopovo.it/__l5e/assets-v1/6028d2da-a6f2-499c-9441-166ef54e735c/pizzario-logo.png,Privato / economico,Entrambi,Bassa,7,POVO-CIRC-0021,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Agritur Verderame,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via della Selva, 49 38123 – Oltrecastello (TN)",46.077819,11.169766,LUCA LANER +39 3485114105,"info@agriturverderame.it
www.agriturverderame.it",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Il silenzio della natura e il foliage dei vigneti, il profilo delle montagne e il colore del cielo, tra benessere, sport e relax.
Tanti elementi s’incontrano all’Agritur Verderame per regalarti
la vacanza perfetta, nella natura ad un passo dalla città. Scoprici!",Tutte la età,"Turisti / Visitatori, Sportivi / Escursionisti, Famiglie, Lavoratori / Pendolari, Associazioni / Gruppi organizzati","Si, previa assistenza",Si,Si,-,-,27/8/2025,Struttura nuova,https://www.agriturverderame.it/,https://lirp.cdn-website.com/a1e16fe5/dms3rep/multi/opt/hero_section-32cbf134-1920w.png,Privato / economico,Prevalentemente city users / visitatori,Bassa,0,POVO-CIRC-0022,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Agritur 8 Grappoli,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Graffiano, 14/E – TN",46.062164,11.148583,Giorgia Lorenz  3474331891,"+39 392 530 6450
www.8grappoliagritur.com
info@8grappoliagritur.com
facebook.com/8grappoli/
instagram.com/8grappoli_agritur/",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Un sogno e un progetto che portavamo avanti da qualche anno. Il nostro scopo era quello di creare un punto d’incontro tra noi, la nostra azienda, i nostri prodotti e il consumatore finale. Ci piace pensare che attraverso l’agritur possiamo mostrare quello che facciamo e soprattutto come lo facciamo.",Tutte la età,"Turisti / Visitatori, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,Nel 2019 siamo riusciti a realizzare l’Agritur 8 Grappoli,https://www.8grappoliagritur.com/,https://www.8grappoliagritur.com/wp-content/uploads/2025/10/home-autunno.jpg,Privato / economico,Prevalentemente city users / visitatori,Bassa,0,POVO-CIRC-0023,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Agritur La Tenuta,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"via VIA della Selva, 27A - 38123 - Trento (TN) - ITALIA",46.076234,11.164094,GRISENTI GIUSEPPE  +39 329 878 2648,"www.agriturlatenuta.it
reception@agriturlatenuta.it
Facebook
 Instagram
 Airbnb
 Youtube",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Il nostro complesso, situato a pochi minuti dal centro storico di Trento, è una residenza esclusiva ed elegante, dove si fondono in modo armonioso elementi naturali e urbani.
Perfetta per soggiorni brevi e disponibile anche per affitti medio-lunghi, offre ambienti spaziosi, luminosi e accoglienti, dal design raffinato e il massimo comfort.",Tutte la età,"Turisti / Visitatori, Studenti, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,"La posizione strategica rende questi alloggi la scelta ideale sia per un piacevole viaggio alla scoperta della gran varietà di punti d’interesse che circondano la zona, sia per dedicarsi alle diverse attività ricreative presenti nei dintorni.",https://www.agriturlatenuta.it/,https://i.postimg.cc/wj7Nr3xY/unnamed.jpg,Privato / economico,Prevalentemente city users / visitatori,Bassa,0,POVO-CIRC-0024,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Agritur Ponte Alto,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Località Ponte Alto Via alla Cascata 27 – Loc.Povo,46.072626,11.153105,FURLANI,"+39 0461 810753
+39 3471474234
+39 3495811591",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Per chi desidera un luogo immerso nel verde tra vigneti e un panorama mozzafiato, a un passo da Trento, l’Agriturismo Ponte Alto è la meta ideale.",Tutte la età,"Turisti / Visitatori, Sportivi / Escursionisti, Famiglie, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,"Siamo lieti di accogliervi per un soggiorno all’insegna dell’ospitalità, tra cucina del territorio, spumanti e cosmetici naturali di nostra produzione, e suggerimenti per visitare questo splendido angolo di Trentino.",https://www.agriturpontealto.it/,https://www.agriturpontealto.it/wp-content/uploads/2021/11/agritur-dallalto-2mm--scaled.jpg,Privato / economico,Prevalentemente city users / visitatori,Bassa,0,POVO-CIRC-0025,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Vigili del Fuoco,Servizi pubblici e di comunità,Associazioni e gruppi,Associazione di volontariato,"Via Sabbioni 22/1, Trento, Italy",46.067175,11.155242,0461 811414,"Instagram · vigili_del_fuoco_povo
povo@distrettovvftrento.it
http://www.distrettovvftrento.it/corpo.php?id=28","Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,-,-,Sera,-,-,-,-,Solo in determinate occasioni,-,QUANDO CI SONO SERVIZI ATTIVI O MANIFESTAZIONI,è una associazione che si occupa di interventi d'urgenza per incendi-allarmi acqua-allarme animali-allarmi chiusure porte,"Adolescenti (11–17 anni), Giovani (18–30 anni), Adulti (31–64 anni)","Famiglie, Associazioni / Gruppi organizzati","Si, in autonomia",Si,Si,-,-,27/8/2025,-,https://www.facebook.com/p/Vigili-del-Fuoco-volontari-di-Povo-100067896998748/,https://i.postimg.cc/V61dzNw6/655598751-1248530024086886-4096332984785411283-n.jpg,Comunità / associazioni,Prevalentemente citizens,Bassa,1,POVO-CIRC-0026,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Scuola Primaria Provinciale,Servizi pubblici e di comunità,Servizi e attività economiche,Scuola Primaria U. Moggioli,Via dei Rivi 6,46.064015,11.153655,PEGORETTI PIERA - DIRIGENTE SCOLASTICA,0461810355 - segr.ic.tn1@scuole.provincia.tn.it - www.ictrento1.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",Mattina,-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELL'ISTRUZIONE SCOLASTICA PRIMARIA,Bambini (0–10 anni),-,"Si, in autonomia",Si,Si,No,Si,27/8/2025,struttura scolastisca regolarmente frequentata,https://www.ictrento1.it/luogo/scuola-primaria-g-dalla-fior/,https://www.ictrento1.it/wp-content/uploads/2022/06/mog4.png,Pubblico / istituzionale,Prevalentemente citizens,Bassa,5,POVO-CIRC-0027,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Cabina Fototessere,Commercio e servizi di prossimità,Servizi e attività economiche,Dedem SPA,-,46.064386,11.152402,SERVIZIO CLIENTI 0693026870,06930261 - info@dedem.it - www.dedem.it,Accesso libero,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,PRODUZIONE FOTOTESSERE PER DOCUMENTI - COSTO 6 EURO,Tutte la età,Tutti,"Si, previa assistenza",No,Si,No,Si,27/8/2025,Struttura mediamente frequentata,https://dedem.it/cabine-fototessera/,https://dedem.it/wp-content/uploads/2023/05/viso-evolution-1-1-1.jpg,Privato / economico,Entrambi,Bassa,0,POVO-CIRC-0028,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,27/8/2025,true
Mercato Settimanale,Commercio e servizi di prossimità,Servizi e attività economiche,Vari commercianti ambulanti,Piazza Manci - Povo,46.066002,11.154465,-,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,-,Mattina,Mattina,-,-,Mattina,-,Sempre aperto,-,-,"Mercato degli ambulanti, in determinati giorni della settimana, al mattino, in Piazza Manci. Il martedì: bancarella di frutta e verdura e abbigliamento, 
mercoledì: bancarelle di frutta e verdura, pane dolci tipici altoatesini, piante e fiori, 
sabato: rosticceria e friggitoria pollame, frutta e verdura.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,28/8/2025,Il mercato è funzionante nelle prime ore del mattino (verso le 7.30) e fino alle 13.00,https://www.comune.trento.it/Argomenti/Economia/Commercio-ambulante,https://i.postimg.cc/0NhJbXXK/Chat-GPT-Image-Jul-6-2026-08-03-00-AM.png,Privato / economico,Entrambi,Alta,3,POVO-CIRC-0029,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,28/8/2025,true
"Scuola Equiparata dell'Infanzia ""Angelina Lorenzini""",Servizi pubblici e di comunità,Servizi e attività economiche,Scuola equiparata dell'infanzia di Povo suore Angelina Lorenzini,Via Pantè 1,46.064721,11.151896,GRISENTI GIUSEPPE - 3356342205,0461810049/810970 - posta@scuolainfanziapovo.it - www.scuolainfanziapovo.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Luglio, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELLA GESTIONE DEI BAMBINI DA 3 AI 6 ANNI,Bambini (0–10 anni),-,"Si, previa assistenza",Si,Si,No,Si,29/8/2025,Struttura mediamente frequentata,https://www.scuolainfanziapovo.it,https://www.scuolainfanziapovo.it/public/foto/scuola/scuola_007.jpg,Misto / convenzionato,Prevalentemente citizens,Bassa,5,POVO-CIRC-0030,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,29/8/2025,true
"Scuola Provinciale dell'Infanzia ""M.C. CONOTTER""",Servizi pubblici e di comunità,Servizi e attività economiche,"Scuola provinciale dell'infanzia ""M.C. CONOTTER""",Via della Resistenza 48,46.067520,11.161642,CHIARA NADALON - 0461496952,0461810574 - scuolainfanzia.povo@scuole.provincia.tn.it - www.vivoscuola.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Gratuito,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",-,-,Solo in alcuni periodi dell'anno,"Gennaio, Febbraio, Marzo, Aprile, Maggio, Giugno, Luglio, Settembre, Ottobre, Novembre, Dicembre",-,SERVIZIO PUBBLICO CHE SI OCCUPA DELLA GESTIONE DEI BAMBINI DAI 3 AI 6 ANNI,Bambini (0–10 anni),-,"Si, previa assistenza",Si,Si,No,Si,29/8/2025,Struttura mediamente frequentata,https://www.vivoscuola.it/Scuole/Circolo-di-coordinamento-n.-3/Scuola-dell-Infanzia-di-Trento-Povo-M.C.-Conotter,https://i.postimg.cc/C1pH924m/article-img-id-12806375-t-1775554302600.png,Pubblico / istituzionale,Prevalentemente citizens,Bassa,5,POVO-CIRC-0031,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,29/8/2025,true
Centro Servizi,Servizi pubblici e di comunità,Servizi e attività economiche,APSP Margherita Grazioli,Via della Resistenza 61/D,46.065891,11.158567,APSP MARGHERITA GRAZIOLI,0461 818101 - centroservizi@apspgrazioli.it - www.apspgrazioli.it,"Accesso riservato a determinati utenti (es. tesserati, residenti, …)",Misto,Aperto in determinati giorni/orari,Mattina,Mattina,Mattina,"Mattina, Pomeriggio",Mattina,-,-,Sempre aperto,-,-,"Il Centro Servizi promuove attività motorie, culturali e servizi di cura e igiene rivolti a persone adulto/anziane del territorio. La Residenza Sanitaria Assistenziale (di seguito RSA) è una struttura socio-sanitaria residenziale dedicata a persone adulto/anziane non autosufficienti che necessitano di assistenza.","Adulti (31–64 anni), Anziani (65+)","Associazioni / Gruppi organizzati, Persone fragili o in situazione di svantaggio sociale, Anziani","Si, in autonomia",No,Si,No,Si,14/9/2025,"Il Centro Servizi è facilmente raggiungibile sia con i mezzi pubblici sia con i mezzi privati. Dispone infatti di un ampio parcheggio coperto oppure scoperto con disco orario di 2 ore e si trova in corrispondenza della fermata degli autobus di linea urbana  n.5, n.13 e n. 16",https://www.apspgrazioli.it/,https://www.apspgrazioli.it/var/apspgrazioli/storage/images/media/immagini/centro-polifunzionale/37580-1-ita-IT/Centro-Polifunzionale_reference.jpg,Misto / convenzionato,Prevalentemente citizens,Bassa,5,POVO-CIRC-0032,Circoscrizione di Povo,,,,record_base,,,,confermato_dalla_circoscrizione,alta,,14/9/2025,true
